Country of Origin may be different at time of shipment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,EMK107BJ104KAHT,Taiyo Yuden,CAP CER 0.1UF 16V X5R 0603,"192,228",In Stock,,4,4,Cut Tape (CT),587-3308-1-ND,0.10000,$0.40,1,,EMK107BJ104KAHT,44,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=EMK107BJ104KAHT  &u=M,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8532.24.0020,China,,EMK107BJ104KAHT,"//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0603-(1608-Metric)-0,95mm.jpg"
2,UPS1H151MPD,Nichicon,CAP ALUM 150UF 20% 50V RADIAL,2,In Stock,,1,1,Bulk,493-17152-ND,0.80000,$0.80,1,,493-17152-ND,63,https://www.nichicon.co.jp/english/products/pdfs/e-ups.pdf,,N/A,,Active,ROHS3 Compliant,EAR99,8532.22.0020,Malaysia,,493-17152-ND,//media.digikey.com/Photos/Nichicon%20Photos/PS%20Series%2010mm.jpg
3,UFW0J471MED,Nichicon,CAP ALUM 470UF 20% 6.3V RADIAL,"2,877",In Stock,,1,1,Bulk,493-15113-ND,0.35000,$0.35,1,,"	 493-15113-ND",72,https://www.nichicon.co.jp/english/products/pdfs/e-ufw.pdf,,N/A,,Active,ROHS3 Compliant,EAR99,8532.22.0020,-,,8AX200MEFC6-3X7,//media.digikey.com/Photos/Nichicon%20Photos/FW-SERIES-6.jpg
4,0022053041,Molex,CONN HEADER R/A 4POS 2.54MM,"5,920",In Stock,,2,2,Bulk,WM4302-ND,0.59000,$1.18,1,,WM4302-ND,33,https://www.molex.com/pdm_docs/sd/022053041_sd.pdf,,N/A,,Active,ROHS3 Compliant,EAR99,8536.69.4040,India,https://www.molex.com/datasheets/rohspdf/0022053041_rohs.pdf,WM4302-ND,//media.digikey.com/photos/Molex/22-05-3041.jpg
5,0010112043,Molex,CONN HOUSING 4POS .100 HI PRESS,"37,198",In Stock,,2,2,Bag,WM2603-ND,0.23000,$0.46,1,,WM2603-ND,33,https://www.molex.com/pdm_docs/sd/010112043_sd.pdf,,N/A,,Active,ROHS3 Compliant,EAR99,8536.69.8000,India,https://www.molex.com/datasheets/rohspdf/0010112043_rohs.pdf,WM2603-ND,//media.digikey.com/photos/Molex/10-11-2043.jpg
6,0022053031,Molex,CONN HEADER R/A 3POS 2.54MM,"69,023",In Stock,,2,2,Bag,WM4301-ND,0.46000,$0.92,1,,0022053031,33,https://www.molex.com/pdm_docs/sd/022053031_sd.pdf,,N/A,,Active,ROHS3 Compliant,EAR99,8536.69.4040,India,https://www.molex.com/datasheets/rohspdf/0022053031_rohs.pdf,0022053031,//media.digikey.com/photos/Molex/22-05-3031.jpg
7,0010112034,Molex,CONN HOUSING 3 POS,"32,495",In Stock,,2,2,Bag,0010112034-ND,0.20000,$0.40,1,,0010112034,33,https://www.molex.com/pdm_docs/sd/010112034_sd.pdf,,N/A,,Active,ROHS3 Compliant,EAR99,8536.69.8000,India,,0010112034,//media.digikey.com/Photos/Molex/0010112034.jpg
8,ERJ-3EKF2003V,Panasonic Electronic Components,RES SMD 200K OHM 1% 1/10W 0603,"3,045",In Stock,,3,3,Cut Tape (CT),P200KHCT-ND,0.10000,$0.30,1,,P200KHCT-ND,52,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.21.0030,China,https://industrial.panasonic.com/cdbs/www-cgi/auto-publishing.cgi?type=ROSU&region=WW&layer=4&cd=AOA0002,ERJ-3GEYJ204V,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg
9,ERJ-3GEYJ394V,Panasonic Electronic Components,RES SMD 390K OHM 5% 1/10W 0603,"38,772",In Stock,,4,4,Cut Tape (CT),P390KGCT-ND,0.10000,$0.40,1,,ERJ-3GEYJ394V,29,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3GEYJ394V,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8533.21.0030,China,https://industrial.panasonic.com/cdbs/www-cgi/auto-publishing.cgi?type=ROSU&region=WW&layer=4&cd=AOA0002,ERJ-3GEYJ394V,//media.digikey.com/Photos/Panasonic%20Photos/MFG_ERJ-P6W%20Series.jpg
10,MC14538BDR2G,onsemi,IC MULTIVIBRATOR 95NS 16SOIC,"37,817",In Stock,,1,1,Cut Tape (CT),MC14538BDR2GOSCT-ND,0.77000,$0.77,1,,MC14538BDR2GOSCT-ND,40,https://www.onsemi.com/pdf/datasheet/mc14538b-d.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,EAR99,8542.39.0001,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=MC14538BDR2G,MC14538BDR2GOSCT-ND,"//media.digikey.com/Renders/On%20Semi%20Renders/488~751B-05~D,-VD,-FD~16.JPG"
